"ID";"Description";"setSize";"enrichmentScore";"NES";"pvalue";"p.adjust";"qvalue";"rank";"leading_edge";"core_enrichment";"Class"
"GO:0015986";"GO:0015986";"proton motive force-driven ATP synthesis";70;0.697508967582789;2.44592195551671;1e-10;4.49230769230769e-08;3.8753036437247e-08;1802;"tags=73%, list=12%, signal=64%";"MT-ND1/MT-ND4L/NDUFV2/ATP5F1E/ATP5MC2/MT-ND6/MT-ND2/MT-ND4/NDUFB11/NDUFS4/NDUFAB1/NDUFA2/MT-ND3/MT-ND5/NDUFA3/NDUFB9/ATP5F1A/NDUFA13/ATP5PD/NDUFB5/ATP5F1B/NDUFB10/SDHA/NDUFS6/NDUFS7/NDUFA8/ATP5F1D/ATP5IF1/NDUFA11/NDUFA7/NDUFA5/MT-ATP6/NDUFV3/ATP5MF/ATP5MC3/NDUFS3/ATP5ME/NDUFA1/NDUFC1/ATP5MG/NDUFA9/NDUFB6/NDUFC2/NDUFB2/STOML2/NDUFS8/NDUFB7/ATP6V0C/SDHB/NDUFB1/NDUFS5";"BP"
"GO:0042776";"GO:0042776";"proton motive force-driven mitochondrial ATP synthesis";64;0.701474561167346;2.43526257337083;1e-10;4.49230769230769e-08;3.8753036437247e-08;1802;"tags=75%, list=12%, signal=66%";"MT-ND1/MT-ND4L/NDUFV2/ATP5F1E/MT-ND6/MT-ND2/MT-ND4/NDUFB11/NDUFS4/NDUFAB1/NDUFA2/MT-ND3/MT-ND5/NDUFA3/NDUFB9/ATP5F1A/NDUFA13/ATP5PD/NDUFB5/ATP5F1B/NDUFB10/SDHA/NDUFS6/NDUFS7/NDUFA8/ATP5F1D/ATP5IF1/NDUFA11/NDUFA7/NDUFA5/MT-ATP6/NDUFV3/ATP5MF/NDUFS3/ATP5ME/NDUFA1/NDUFC1/ATP5MG/NDUFA9/NDUFB6/NDUFC2/NDUFB2/STOML2/NDUFS8/NDUFB7/SDHB/NDUFB1/NDUFS5";"BP"
"GO:0006754";"GO:0006754";"ATP biosynthetic process";94;0.644127694423598;2.33985597760545;1e-10;4.49230769230769e-08;3.8753036437247e-08;2089;"tags=62%, list=14%, signal=53%";"TMSB4X/MT-ND1/MT-ND4L/NDUFV2/ATP5F1E/ATP5MC2/MT-ND6/MT-ND2/MT-ND4/NDUFB11/NDUFS4/NDUFAB1/NDUFA2/MT-ND3/MT-ND5/NDUFA3/NDUFB9/ATP5F1A/NDUFA13/ATP5PD/NDUFB5/ATP5F1B/NDUFB10/SDHA/NDUFS6/NDUFS7/NDUFA8/ATP5F1D/ATP5IF1/NDUFA11/NDUFA7/NDUFA5/MT-ATP6/NDUFV3/ATP5MF/ATP5MC3/NDUFS3/ATP5ME/NDUFA1/NDUFC1/ATP5MG/NDUFA9/NDUFB6/NDUFC2/NDUFB2/STOML2/NDUFS8/VCP/NDUFB7/ENO1/ATP6V0C/SDHB/NDUFB1/NDUFS5/PARP1/ATP5F1C/MAP2K1/STAT3";"BP"
"GO:0009206";"GO:0009206";"purine ribonucleoside triphosphate biosynthetic process";102;0.636150884298073;2.33842800720786;1e-10;4.49230769230769e-08;3.8753036437247e-08;2089;"tags=61%, list=14%, signal=53%";"TMSB4X/MT-ND1/MT-ND4L/NDUFV2/NME4/ATP5F1E/ATP5MC2/MT-ND6/MT-ND2/MT-ND4/NDUFB11/NDUFS4/NDUFAB1/NDUFA2/MT-ND3/MT-ND5/NDUFA3/NDUFB9/ATP5F1A/NDUFA13/ATP5PD/NDUFB5/ATP5F1B/NDUFB10/SDHA/NDUFS6/NDUFS7/NDUFA8/ATP5F1D/ATP5IF1/NDUFA11/NDUFA7/NDUFA5/MT-ATP6/NDUFV3/ATP5MF/ATP5MC3/NDUFS3/NME2/ATP5ME/NDUFA1/NDUFC1/ATP5MG/NME1/NDUFA9/NDUFB6/NDUFC2/IMPDH2/NDUFB2/STOML2/NDUFS8/VCP/NDUFB7/ENO1/ATP6V0C/SDHB/NDUFB1/NDUFS5/PARP1/ATP5F1C/MAP2K1/STAT3";"BP"
"GO:1902600";"GO:1902600";"proton transmembrane transport";160;0.594478829840634;2.33184290723344;1e-10;4.49230769230769e-08;3.8753036437247e-08;3018;"tags=57%, list=20%, signal=46%";"MT-ND1/MT-ND4L/MT-CO3/NDUFV2/ATP5F1E/LAMP1/ATP5MC2/COX7A2L/MT-CO2/ATP6AP1/MT-ND6/MT-ND2/MT-CYB/MT-ND4/UQCRC1/NDUFS4/NDUFA2/MT-ND3/MT-ND5/NDUFA3/NDUFB9/ATP5F1A/COX7A2/ATP5PD/NDUFB5/ATP6V0E1/ATP5F1B/ATP6V1G1/NDUFB10/UCP2/NDUFS6/NDUFS7/LAMP2/COX8A/COX4I1/NDUFA8/ATP6V0B/ATP5F1D/NDUFA7/NDUFA5/MT-ATP6/UQCR10/NDUFV3/ATP6AP2/ATP5MF/ATP5MC3/ATP6V1A/ATP1A1/NDUFS3/ATP5ME/COX6B1/NDUFA1/NDUFC1/ATP5MG/NDUFA9/SLC9A1/CLCN3/ATP6V1F/NDUFB6/NDUFC2/ATP6V0D1/COX17/ATP1B1/PPIF/NDUFB2/NDUFS8/NDUFB7/ATP6V1B2/ATP6V0C/SURF1/NDUFB1/NDUFS5/RNASEK/ATP6V0E2/COX7B/ATP5F1C/ATP6V1D/COX5B/NDUFA12/NNT/SLC25A4/SLC25A5/ATP6V1E1/SLC9A7/ATP5PF/SLC15A4/ATP5MC1/NDUFB3/DMAC2L/NDUFB4/SLC46A1";"BP"
"GO:0009145";"GO:0009145";"purine nucleoside triphosphate biosynthetic process";103;0.628162138268441;2.32232060881699;1e-10;4.49230769230769e-08;3.8753036437247e-08;2089;"tags=60%, list=14%, signal=52%";"TMSB4X/MT-ND1/MT-ND4L/NDUFV2/NME4/ATP5F1E/ATP5MC2/MT-ND6/MT-ND2/MT-ND4/NDUFB11/NDUFS4/NDUFAB1/NDUFA2/MT-ND3/MT-ND5/NDUFA3/NDUFB9/ATP5F1A/NDUFA13/ATP5PD/NDUFB5/ATP5F1B/NDUFB10/SDHA/NDUFS6/NDUFS7/NDUFA8/ATP5F1D/ATP5IF1/NDUFA11/NDUFA7/NDUFA5/MT-ATP6/NDUFV3/ATP5MF/ATP5MC3/NDUFS3/NME2/ATP5ME/NDUFA1/NDUFC1/ATP5MG/NME1/NDUFA9/NDUFB6/NDUFC2/IMPDH2/NDUFB2/STOML2/NDUFS8/VCP/NDUFB7/ENO1/ATP6V0C/SDHB/NDUFB1/NDUFS5/PARP1/ATP5F1C/MAP2K1/STAT3";"BP"
"GO:0006119";"GO:0006119";"oxidative phosphorylation";129;0.602907242540663;2.30673509808321;1e-10;4.49230769230769e-08;3.8753036437247e-08;2064;"tags=57%, list=14%, signal=50%";"MT-ND1/MT-ND4L/MT-CO3/NDUFV2/ATP5F1E/COX7A2L/RHOA/MT-CO2/MT-ND6/MT-ND2/UQCR11/MT-CYB/MT-ND4/UQCRC1/NDUFB11/NDUFS4/NDUFAB1/NDUFA2/MT-ND3/MT-ND5/COX7C/CHCHD2/NDUFA3/NDUFB9/ATP5F1A/NDUFA13/COX7A2/ATP5PD/NDUFB5/ISCU/ATP5F1B/NDUFB10/SDHA/NDUFS6/NDUFS7/COX6A1/COX8A/COX4I1/NDUFA8/ATP5F1D/ATP5IF1/NDUFA11/NDUFA7/UQCRQ/NDUFA5/COX6C/MT-ATP6/UQCR10/NDUFV3/ATP5MF/UQCC2/UQCRB/NDUFS3/ATP5ME/COX6B1/NDUFA1/NDUFC1/ATP5MG/NDUFA9/NDUFB6/MTCH2/NDUFC2/PPIF/NDUFB2/STOML2/NDUFS8/VCP/NDUFB7/SDHB/NDUFB1/NDUFS5/COX7B/ATP5F1C/COX5B";"BP"
"GO:0009201";"GO:0009201";"ribonucleoside triphosphate biosynthetic process";108;0.605610049207949;2.26050360366981;1e-10;4.49230769230769e-08;3.8753036437247e-08;2089;"tags=58%, list=14%, signal=51%";"TMSB4X/MT-ND1/MT-ND4L/NDUFV2/NME4/ATP5F1E/ATP5MC2/MT-ND6/MT-ND2/MT-ND4/NDUFB11/NDUFS4/NDUFAB1/NDUFA2/MT-ND3/MT-ND5/NDUFA3/NDUFB9/ATP5F1A/NDUFA13/ATP5PD/NDUFB5/ATP5F1B/NDUFB10/SDHA/NDUFS6/NDUFS7/NDUFA8/ATP5F1D/ATP5IF1/NDUFA11/NDUFA7/NDUFA5/MT-ATP6/NDUFV3/ATP5MF/ATP5MC3/NDUFS3/NME2/ATP5ME/NDUFA1/NDUFC1/ATP5MG/NME1/NDUFA9/NDUFB6/NDUFC2/IMPDH2/NDUFB2/STOML2/NDUFS8/VCP/NDUFB7/ENO1/ATP6V0C/SDHB/NDUFB1/NDUFS5/PARP1/ATP5F1C/UCK1/MAP2K1/STAT3";"BP"
"GO:0009152";"GO:0009152";"purine ribonucleotide biosynthetic process";138;0.570043715746203;2.20189207453249;1e-10;4.49230769230769e-08;3.8753036437247e-08;2089;"tags=49%, list=14%, signal=43%";"TMSB4X/MT-ND1/MT-ND4L/NDUFV2/NME4/ATP5F1E/ATP5MC2/MT-ND6/MT-ND2/MT-ND4/APRT/GUK1/NDUFB11/NDUFS4/NDUFAB1/NDUFA2/MT-ND3/MT-ND5/NDUFA3/NDUFB9/ATP5F1A/NDUFA13/PAPSS1/ATP5PD/NDUFB5/ATP5F1B/NDUFB10/SDHA/NDUFS6/NDUFS7/NDUFA8/ATP5F1D/ATP5IF1/NDUFA11/NDUFA7/NDUFA5/MT-ATP6/NDUFV3/ATP5MF/ATP5MC3/NDUFS3/GMPS/NME2/ATP5ME/NDUFA1/NDUFC1/ATP5MG/NME1/NDUFA9/NDUFB6/NDUFC2/IMPDH2/GUCY1A1/NDUFB2/STOML2/NDUFS8/VCP/NDUFB7/ENO1/GART/ATP6V0C/SDHB/NDUFB1/NDUFS5/PARP1/ATP5F1C/MAP2K1/STAT3";"BP"
"GO:0009060";"GO:0009060";"aerobic respiration";259;0.477595674804039;1.96933967325444;1e-10;4.49230769230769e-08;3.8753036437247e-08;2808;"tags=47%, list=19%, signal=39%";"MT-ND1/MT-ND4L/MT-CO3/NDUFV2/ZBTB7A/ATP5F1E/APP/COX7A2L/RHOA/MT-CO2/MT-ND6/MT-ND2/UQCR11/MT-CYB/MT-ND4/IDH2/UQCRC1/NDUFB11/NDUFS4/NDUFAB1/NDUFA2/MT-ND3/MT-ND5/COX7C/CHCHD2/NDUFA3/NDUFB9/ATP5F1A/NDUFA13/COX7A2/FBP1/CAT/ATP5PD/NDUFB5/PKM/ISCU/ATP5F1B/BLOC1S1/PDHB/EP300/NDUFB10/SDHA/UCP2/NDUFS6/NDUFS7/COX6A1/IDH3B/COX8A/COX4I1/NDUFA8/MPC2/ATP5F1D/ATP5IF1/NDUFA11/NDUFA7/UQCRQ/MDH2/NDUFA5/NOP53/COX6C/MT-ATP6/UQCR10/NDUFV3/ATP5MF/UQCC2/HK1/UQCRB/NDUFS3/ATP5ME/SUCLG2/COX6B1/OGDH/NDUFA1/GPI/NDUFC1/ATP5MG/NDUFA9/NDUFB6/MTCH2/NDUFC2/PPIF/NDUFB2/STOML2/NDUFS8/VCP/GIT1/BCKDK/NDUFB7/ENO1/PRKACA/FH/ACO2/HK2/SDHB/SURF1/NDUFB1/NDUFS5/INSR/PRKAG1/COX7B/ATP5F1C/SUCLG1/COX5B/STAT3/IER3/IDH1/BCL2L13/NDUFA12/PDK4/ADSL/NNT/DDIT4/PGAM1/HDAC4/MDH1/LIPA/ATP5PF/PDK1/PGK1/PDK3/C2orf69";"BP"
